NO,주소,층,보증금,월세,관리비,종류,평수,방 수,욕실 수,"향(남향,동향등)",전입가능 여부,주차장,즉시입주여부,복층여부,에어컨,냉장고,세탁기,인덕션,엘리베이터,신발장,옷장,베란다,싱크대,사진1,사진2,사진3,사진4,url 주소
69,인천시 연수구 송도동 29-1,28,5000000,600000,150000,오피스텔,15.63,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/F8lLOl3M
70,인천시 연수구 송도동 29-1,18,5000000,650000,150000,오피스텔,15.63,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5WUgwqdj
71,인천시 연수구 송도동 29-1,23,5000000,600000,150000,오피스텔,18.83,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xWIFqVaj
72,인천시 연수구 송도동 29-1,30,5000000,650000,170000,오피스텔,18.83,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xJcvOSv3
73,인천시 연수구 송도동 29-1,30,5000000,650000,150000,오피스텔,18.83,1,1,북동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FTdUizR7
74,인천시 연수구 송도동 29-1,34,5000000,600000,120000,오피스텔,15.63,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GM3A8kQS
75,인천시 연수구 송도동 29-1,13,5000000,620000,150000,오피스텔,18.83,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FhupzbYn
76,인천시 연수구 송도동 29-1,6,2000000,600000,130000,오피스텔,15.63,1,1,남동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5p0OcYdl
77,인천시 연수구 송도동 29-1,34,3000000,600000,130000,오피스텔,15.63,1,1,남향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xfbcuTPi
78,인천시 연수구 송도동 29-1,20,5000000,660000,130000,오피스텔,18.83,1,1,북서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/IgMoxmJ8
79,인천시 연수구 송도동 29-1,20,5000000,650000,150000,오피스텔,18.83,1,1,북동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/F3Ee8H29
80,인천시 연수구 송도동 29-1,20,5000000,650000,150000,오피스텔,15.63,1,1,남서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FvTiPyPD
81,인천시 연수구 송도동 29-1,19,900000,750000,50000,오피스텔,18.83,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FyAZJdlb
82,인천시 연수구 송도동 29-1,31,5000000,550000,90000,오피스텔,15.63,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GIIjo2Ly
83,인천시 연수구 송도동 29-1,31,5000000,600000,90000,오피스텔,15.63,1,1,북향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/Ghwvr3i0
84,인천시 연수구 송도동 29-1,18,5000000,650000,170000,오피스텔,18.83,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GbyiMFFR
85,인천시 연수구 송도동 29-1,13,700000,680000,50000,오피스텔,15.14,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FfsmHYVp
86,인천시 연수구 송도동 29-1,15,3000000,850000,200000,오피스텔,18.83,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GwfmlcSq
87,인천시 연수구 송도동 29-2,7,5000000,600000,99000,오피스텔,13.36,1,1,남둥향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GKIMgQSy
88,인천시 연수구 송도동 29-2,7,5000000,600000,120000,오피스텔,13.36,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5RAodL9I
89,인천시 연수구 송도동 29-2,7,5000000,550000,120000,오피스텔,13.36,1,1,남동향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GVV8La21
90,인천시 연수구 송도동 29-2,17,8000000,850000,150000,오피스텔,18.78,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xSBO3EOD
91,인천시 연수구 송도동 29-2,17,5000000,850000,150000,오피스텔,18.78,1,1,북서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xLNRtDGi
92,인천시 연수구 송도동 29-2,17,8000000,870000,90000,오피스텔,18.78,1,1,북서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FEgwcwWa
93,인천시 연수구 송도동 29-2,17,8000000,850000,150000,오피스텔,18.78,1,1,서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5FDrghsY
94,인천시 연수구 송도동 29-2,17,8000000,850000,150000,오피스텔,18.78,1,1,남향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5vJRUwgg
95,인천시 연수구 송도동 29-2,17,5000000,900000,90000,오피스텔,18.78,1,1,서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xjYhQxz5
96,인천시 연수구 송도동 29-2,17,8000000,850000,200000,오피스텔,18.78,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/x1uQ5COY
97,인천시 연수구 송도동 29-2,17,8000000,850000,12000,오피스텔,18.78,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GbyiqXMz
98,인천시 연수구 송도동 29-2,23,10000000,850000,150000,오피스텔,18.86,1,1,북서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xwoChcsM
99,인천시 연수구 송도동 29-2,23,10000000,850000,150000,오피스텔,18.86,1,1,북서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xF4HA5IK
100,인천시 연수구 송도동 29-2,23,10000000,850000,130000,오피스텔,18.86,1,1,북서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5hoZPAJA
101,인천시 연수구 송도동 29-2,23,10000000,850000,130000,오피스텔,18.86,1,1,북서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5HyNshhX
102,인천시 연수구 송도동 29-2,23,10000000,850000,130000,오피스텔,18.86,1,1,북서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GahQJdyd
103,인천시 연수구 송도동 29-2,23,10000000,850000,150000,오피스텔,18.86,1,1,북동향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/x2YE1AhA
104,인천시 연수구 송도동 29-2,23,10000000,850000,180000,오피스텔,18.86,1,1,북동향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xYN6Mwnc
105,인천시 연수구 송도동 29-2,23,10000000,850000,170000,오피스텔,18.86,1,1,서향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FBM6pmZM
106,인천시 연수구 송도동 29-2,23,10000000,850000,150000,오피스텔,18.86,1,1,북서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GB3DUCU9
107,인천시 연수구 송도동 29-2,23,10000000,850000,170000,오피스텔,18.86,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5suv8eYD
108,인천시 연수구 송도동 29-2,23,10000000,850000,186000,오피스텔,18.86,1,1,남동향,X,O,X,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xTy8dB3a
109,인천시 연수구 송도동 29-2,21,5000000,550000,70000,오피스텔,13.91,1,1,북동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xG0XqwlY
110,인천시 연수구 송도동 29-2,22,10000000,700000,90000,오피스텔,18.78,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5AuFTMoZ
